# Rime user dictionary
#@/db_name	pinyin_simp.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	31502
#@/user_id	sylvan-macbook
a 	啊	c=37 d=1.04009 t=30881
gong jiao 	公交	c=3 d=0.0723637 t=31502
gong ju 	工具	c=7 d=1.02145 t=27450
gong lu 	公路	c=2 d=0.0333132 t=31502
gong min 	公民	c=1 d=1 t=10832
gong neng 	功能	c=12 d=0.00222055 t=31502
gong ping 	公平	c=1 d=1 t=24550
gong shang 	工商	c=1 d=1 t=19740
gong si 	公司	c=22 d=1.00146 t=31438
gong su 	攻速	c=1 d=1 t=6836
gong tong 	共通	c=0 d=0.00972957 t=31502
gong tong dian 	共通点	c=1 d=0.0977834 t=31502
gong wu yuan 	公务员	c=2 d=1 t=11709
gong xian 	贡献	c=2 d=1.00007 t=26634
gong xiang 	共享	c=1 d=1 t=21400
gong xue 	工学	c=1 d=1 t=18661
gong ying 	供应	c=2 d=1 t=24278
gong ying shang 	供应商	c=1 d=1 t=8839
gong zheng 	公正	c=1 d=1 t=24693
gong zhong 	公众	c=1 d=1 t=27339
gong zi 	工资	c=5 d=2.64586 t=11823
gong zuo 	工作	c=15 d=0.790592 t=31502
gong zuo liang 	工作量	c=1 d=1 t=26348
gou 	勾	c=2 d=1.86502 t=19631
gou 	够	c=12 d=1.98511 t=30750
gou 	狗	c=7 d=1 t=30748
gou duo 	够多	c=1 d=1 t=22310
gou jian 	构建	c=6 d=0.19398 t=31502
gou mai 	购买	c=1 d=0.00852289 t=31502
gou pi 	狗屁	c=1 d=1 t=6497
gou tong 	沟通	c=5 d=0.431711 t=31502
gou xuan 	勾选	c=2 d=1 t=28559
gou zi 	钩子	c=3 d=1.00188 t=16148
gu 	估	c=1 d=1 t=26349
gu 	股	c=1 d=1 t=8807
gu 	谷	c=1 d=1 t=15637
gu 	骨	c=2 d=0.1 t=18988
gu ai 	股爱	c=1 d=1 t=3123
gu ding 	固定	c=2 d=1.03159 t=30855
gu ji 	估计	c=4 d=1 t=26267
gu jia 	骨架	c=1 d=1 t=29037
gu li 	鼓励	c=1 d=1 t=13978
gu o 	股哦	c=1 d=0.100059 t=8103
gu ren 	古人	c=3 d=1.00936 t=24769
gu shi 	故事	c=4 d=0.144715 t=31502
gu shi 	股市	c=2 d=1 t=27791
gu suan 	估算	c=1 d=1 t=23690
gu yi 	故意	c=2 d=1 t=19480
gu zhang 	鼓掌	c=3 d=1 t=27545
gua 	挂	c=10 d=1.71893 t=21387
gua hua 	挂花	c=1 d=1 t=10970
gua ji 	挂机	c=4 d=1.80605 t=17794
guai 	怪	c=2 d=1 t=17107
guai guai 	乖乖	c=3 d=1.00001 t=19351
guai guai 	怪怪	c=1 d=1 t=4325
guan 	关	c=7 d=1 t=25803
guan 	官	c=4 d=0.215456 t=31502
guan bi 	关闭	c=14 d=3.68136 t=31502
guan chang 	官场	c=2 d=0.161218 t=31502
guan dao 	管道	c=7 d=1.00004 t=25658
guan fang 	官方	c=16 d=0.425667 t=31502
guan ji 	关机	c=2 d=1.94649 t=17505
guan jia 	管家	c=1 d=1 t=20360
guan jian 	关键	c=1 d=1 t=23597
guan jie 	关节	c=1 d=1 t=14766
guan jie yan 	关节炎	c=1 d=1 t=23849
guan li 	管理	c=15 d=0.737123 t=31502
guan li qi 	管理器	c=1 d=0.680451 t=31502
guan lian 	关联	c=1 d=1 t=28653
guan mo 	观摩	c=1 d=1 t=23244
guan wan 	关完	c=1 d=1 t=22256
guan wang 	官网	c=9 d=1.73086 t=20329
guan xi 	关系	c=3 d=1 t=20601
guan xin 	关心	c=1 d=1 t=7740
guan yong 	管用	c=1 d=1 t=19537
guan yu 	关于	c=6 d=1 t=25657
guan zhu 	关注	c=5 d=1 t=27338
guang 	光	c=2 d=1.0002 t=22902
guang biao 	光标	c=4 d=1.71578 t=24108
guang he zuo yong 	光合作用	c=1 d=1 t=9699
guang huan 	广欢	c=1 d=0.0158434 t=31502
guang yuan 	广源	c=2 d=1 t=6862
guang zhou 	广州	c=1 d=0.028297 t=31502
gui 	归	c=1 d=1 t=12194
gui 	柜	c=1 d=1 t=17796
gui 	规	c=1 d=1 t=3924
gui 	贵	c=4 d=1 t=20892
gui 	鬼	c=1 d=1 t=9438
gui 	龟	c=2 d=1 t=22480
gui fan 	规范	c=9 d=2.12226 t=31414
gui hua 	规划	c=5 d=1 t=30518
gui ju 	规矩	c=1 d=1 t=20044
gui lv 	规律	c=1 d=1 t=356
gui yi 	诡异	c=4 d=0.133989 t=31502
gui ying 	规迎	c=1 d=1 t=5002
gui ze 	规则	c=1 d=1 t=15325
gun da 	滚搭	c=1 d=1 t=24184
gun dong 	滚动	c=2 d=1 t=25125
gun dong tiao 	滚动条	c=1 d=1 t=25202
guo 	国	c=9 d=1.59918 t=20792
guo 	过	c=53 d=0.242791 t=31502
guo 	锅	c=13 d=2.01109 t=22846
guo cheng 	过程	c=1 d=0.00442715 t=31502
guo du 	过度	c=1 d=1 t=10117
guo guo 	锅锅	c=3 d=1.14418 t=22844
guo ji 	国际	c=21 d=1 t=27285
guo jia 	国家	c=1 d=1 t=13977
guo jie 	国界	c=1 d=1 t=16051
guo jing 	过境	c=2 d=1.66365 t=3723
guo ku 	国库	c=1 d=0.151072 t=31502
guo lai 	过来	c=6 d=1.00003 t=28983
guo lv 	过滤	c=2 d=1 t=18745
guo nei 	国内	c=22 d=1.03778 t=22754
guo neng 	过能	c=1 d=1 t=2426
guo qi 	国企	c=1 d=1 t=20912
guo qi 	过期	c=1 d=1 t=20914
guo qu 	过去	c=3 d=0.00225956 t=31502
guo wang 	过往	c=2 d=0.0859399 t=31502
guo xia 	过下	c=2 d=1.99005 t=25465
guo yu 	过于	c=1 d=0.822835 t=31502
ha 	哈	c=18 d=1.02761 t=20563
ha chong 	哈冲	c=1 d=0.927743 t=31502
ha cuo 	哈错	c=1 d=1 t=27075
ha ha 	哈哈	c=7 d=0.0018363 t=31502
ha ha ha 	哈哈哈	c=3 d=1 t=23168
ha lu o 	哈卢哦	c=1 d=1 t=3599
ha luo 	哈罗	c=4 d=1 t=20837
ha nai 	哈耐	c=1 d=1 t=11124
ha neng 	哈能	c=1 d=1 t=28032
ha o 	哈哦	c=2 d=1.00003 t=2484
ha sen 	哈森	c=1 d=0.97531 t=31502
hai 	害	c=1 d=1 t=6842
hai 	海	c=4 d=0.00939605 t=31502
hai 	还	c=235 d=1.44455 t=31326
hai cha 	还差	c=1 d=1 t=11856
hai de 	还得	c=1 d=1 t=7844
hai hao 	还好	c=4 d=1.28938 t=29299
hai ke 	还可	c=1 d=1 t=12457
hai ke yi 	还可以	c=1 d=1 t=12456
hai li 	海里	c=1 d=1 t=27163
hai mei 	还没	c=5 d=1 t=30752
hai shi 	还是	c=73 d=1.03201 t=31502
hai ting 	还挺	c=1 d=1 t=17517
hai xiang 	还想	c=1 d=0.120032 t=31502
hai xu 	还需	c=4 d=1.97689 t=26632
hai yao 	还要	c=3 d=1 t=30918
hai you 	还有	c=21 d=1.97738 t=31210
hai yu 	海域	c=1 d=1 t=7840
hai yu 	海鱼	c=1 d=1 t=7925
hai zai 	还在	c=4 d=1 t=28398
hai zao 	还早	c=1 d=1 t=13374
hai zi 	孩子	c=1 d=0.0129715 t=31502
han 	喊	c=2 d=1 t=27858
han 	韩	c=6 d=1 t=29721
han han 	憨憨	c=1 d=1 t=15539
han liang 	含量	c=1 d=1 t=27974
han shu 	函数	c=3 d=1.00008 t=20740
han yi 	韩义	c=8 d=1.00001 t=25350
han zi 	汉子	c=1 d=1 t=11866
hang 	航	c=3 d=1.67368 t=26770
hang 	行	c=6 d=1.35436 t=31502
hang ban 	航班	c=2 d=1 t=21401
hang gui 	行规	c=0 d=0.1 t=25604
hang huo 	行货	c=1 d=0.355226 t=31502
hang jia 	行家	c=1 d=1 t=12621
hang kong 	航空	c=6 d=1 t=28033
hang nei 	行内	c=1 d=1 t=23753
hang ye 	行业	c=1 d=1 t=19930
hang zhan 	航站	c=1 d=1 t=3654
hao 	号	c=24 d=0.0135009 t=31502
hao 	好	c=325 d=1.81483 t=31502
hao 	郝	c=3 d=1 t=14572
hao chen 	好陈	c=1 d=1 t=16111
hao cheng 	号称	c=1 d=0.1 t=20243
hao chu 	好处	c=1 d=1 t=9711
hao dai 	好歹	c=1 d=1 t=16401
hao de 	好的	c=3 d=1 t=21732
hao duo 	好多	c=1 d=1 t=591
hao hao 	好好	c=4 d=1 t=30145
hao jiu 	好久	c=1 d=1 t=15651
hao kan 	好看	c=1 d=0.579842 t=31502
hao kun 	好困	c=1 d=1 t=16975
hao ma 	号码	c=1 d=1 t=30686
hao pei qiang 	好配墙	c=1 d=1 t=14571
hao qi 	好奇	c=2 d=1 t=30446
hao shi 	好事	c=4 d=1 t=27484
hao shuo 	好说	c=1 d=1 t=24773
hao si 	好似	c=1 d=1 t=20538
hao xian 	号线	c=1 d=1 t=16017
hao xiang 	好像	c=48 d=1 t=29992
hao xiang 	好想	c=1 d=0.000453922 t=31502
hao xiang fa 	好想法	c=1 d=0.00456197 t=31502
hao xu 	好需	c=1 d=1 t=26625
hao yong 	好用	c=6 d=0.00213348 t=31502
hao you 	好友	c=1 d=1 t=15252
hao you 	蚝油	c=1 d=0.0119742 t=31502
he 	何	c=2 d=1.65051 t=10194
he 	合	c=12 d=1.00002 t=12557
he 	和	c=150 d=1.69305 t=31502
he 	喝	c=16 d=4.6698 t=29346
he 	核	c=5 d=1.41274 t=25549
he 	河	c=1 d=1 t=98
he 	鹤	c=4 d=0.0717474 t=31502
he bing 	合并	c=4 d=1.00104 t=22379
he duo 	喝多	c=1 d=1 t=9484
he li 	合理	c=2 d=1 t=24394
he lie er 	核列而	c=1 d=1 t=6364
he n 	河嗯	c=1 d=1 t=400
he ping 	和平	c=1 d=1 t=12214
he shi 	合适	c=5 d=0.00193512 t=31502
he suan 	核酸	c=1 d=1 t=8393
he wen 	喝问	c=1 d=1 t=29337
he xi 	河西	c=2 d=1.99005 t=24227
he xiao 	核销	c=1 d=1 t=8846
he xin 	核心	c=1 d=1 t=24228
he yan 	核验	c=22 d=1.2599 t=26605
hei 	黑	c=3 d=1 t=19947
hei an 	黑暗	c=1 d=1 t=10120
hei ping 	黑屏	c=1 d=1 t=22059
hei ren 	黑人	c=2 d=1.86071 t=19988
hei wo 	黑我	c=1 d=1 t=19488
hen 	很	c=36 d=0.955997 t=31502
hen duo 	很多	c=11 d=0.951847 t=31502
hen hao 	很好	c=1 d=1 t=18842
hen ku 	很酷	c=1 d=1 t=20909
hen man 	很慢	c=2 d=1.07887 t=16067
heng 	横	c=1 d=1 t=30605
heng 	珩	c=6 d=1 t=13200
heng heng 	哼哼	c=0 d=0.1 t=7172
heng ren 	珩人	c=1 d=1 t=17263
hong 	红	c=4 d=1 t=10498
hong 	虹	c=2 d=1.70117 t=26833
hong qi 	红旗	c=1 d=0.0314298 t=31502
hong se 	红色	c=4 d=0.0835947 t=31502
hong yang 	弘扬	c=1 d=1 t=31107
hou 	后	c=30 d=0.539488 t=31502
hou duan 	后端	c=19 d=1.16122 t=29945
hou lai 	后来	c=1 d=1 t=17897
hou m 	后呒	c=4 d=1.00002 t=27828
hou mian 	后面	c=19 d=0.247833 t=31502
hou qi 	后期	c=4 d=2.0364 t=24199
hou shi jing 	后视镜	c=1 d=1 t=26938
hou tai 	后台	c=22 d=2.36566 t=29852
hou tian 	后天	c=1 d=1 t=8482
hou tou 	后头	c=1 d=0.186374 t=31502
hou tui 	后退	c=3 d=0.822835 t=31502
hou xuan 	候选	c=1 d=0.00189223 t=31502
hou zhe 	后者	c=2 d=0.00355287 t=31502
hu 	乎	c=2 d=1.9802 t=16966
hu 	湖	c=4 d=0.1 t=20243
hu 	胡	c=1 d=1 t=24604
hu 	虎	c=1 d=1 t=3222
hu che 	胡扯	c=1 d=1 t=8573
hu da 	湖大	c=1 d=1 t=8990
hu hao cheng 	湖号称	c=1 d=1 t=20244
hu lue 	忽略	c=2 d=1 t=14702
hu nan 	湖南	c=2 d=1 t=13254
hu nao 	胡闹	c=1 d=1 t=14328
hu o 	湖哦	c=1 d=1 t=24381
hu po 	湖泊	c=1 d=1 t=4583
hu xi 	呼吸	c=2 d=1.99501 t=9692
hu xin 	湖心	c=3 d=0.757819 t=31502
hu xin lu 	湖心路	c=3 d=0.11451 t=31502
hua 	化	c=9 d=1.0043 t=20782
hua 	画	c=10 d=1.04929 t=27465
hua 	花	c=12 d=0.0498912 t=31502
hua 	话	c=17 d=1.00002 t=22340
hua qian 	花钱	c=2 d=0.0020396 t=31502
hua shuo 	华硕	c=1 d=1 t=16786
hua suan 	划算	c=2 d=1 t=29304
hua xia 	华夏	c=2 d=1.97531 t=19364
huai nian 	怀念	c=1 d=1 t=9754
huai yi 	怀疑	c=2 d=1 t=15488
huan 	换	c=29 d=0.984205 t=31502
huan 	还	c=2 d=1.19109 t=8612
huan bao 	环保	c=2 d=1.68386 t=12975
huan chun 	换春	c=1 d=1 t=31406
huan cun 	缓存	c=9 d=1.00635 t=31407
huan dao 	换到	c=1 d=1 t=28672
huan hang 	换行	c=1 d=1 t=30707
huan huan 	换换	c=1 d=1 t=15800
huan jie 	缓解	c=1 d=0.0397558 t=31502
huan jing 	环境	c=69 d=3.16077 t=26169
huan wei 	换位	c=2 d=1 t=20106
huan yuan 	还原	c=6 d=1.95581 t=31502
huang 	黄	c=2 d=1 t=17734
huang ce 	黄册	c=2 d=0.154629 t=31502
huang di 	皇帝	c=1 d=0.142274 t=31502
hui 	会	c=93 d=1.17783 t=31502
hui 	回	c=23 d=0.0434998 t=31502
hui 	惠	c=1 d=1 t=3597
hui bao 	回报	c=2 d=1.99501 t=82
hui bao 	汇报	c=13 d=1.42741 t=28330
hui bei 	会被	c=1 d=1 t=17178
hui bu hui 	会不会	c=2 d=1.00047 t=16476
hui da 	回答	c=3 d=2.83446 t=7031
hui dao 	回到	c=3 d=2.76607 t=23065
hui diao 	回调	c=1 d=1 t=17283
hui feng 	汇丰	c=1 d=1 t=13398
hui fu 	回复	c=5 d=1.016 t=28168
hui fu 	恢复	c=1 d=1 t=28169
hui gui 	回归	c=2 d=1 t=9770
hui gun 	回滚	c=4 d=1 t=30494
hui guo 	回国	c=3 d=2.58978 t=10875
hui hao 	会好	c=1 d=1 t=16791
hui jia 	回家	c=5 d=0.0262197 t=31502
hui lai 	回来	c=20 d=1 t=31099
hui qu 	会去	c=1 d=1 t=20764
hui qu 	回去	c=19 d=1.97531 t=26339
hui se 	灰色	c=1 d=1 t=14857
hui shi 	回事	c=1 d=1 t=20657
hui tou 	回头	c=1 d=0.25924 t=31502
hui xiang 	回乡	c=1 d=0.436049 t=31502
hui xiang 	回想	c=1 d=1 t=9766
hui yi 	会议	c=2 d=1.00006 t=19274
hui yi shi 	会议室	c=1 d=1 t=28989
hui yong 	会用	c=1 d=1 t=22319
hui you 	会有	c=2 d=0.299692 t=31502
hui zong 	汇总	c=2 d=1.99005 t=31190
hun sha 	婚纱	c=1 d=1 t=8456
huo 	伙	c=1 d=1 t=162
huo 	或	c=9 d=0.562705 t=31502
huo 	活	c=3 d=1 t=23971
huo 	火	c=1 d=1 t=27809
huo che 	火车	c=16 d=1.8258 t=25906
huo che piao 	火车票	c=20 d=1.03657 t=26602
huo dong 	活动	c=6 d=1 t=29302
huo qu 	获取	c=28 d=0.00719046 t=31502
huo shi 	或是	c=1 d=1 t=6289
huo zhe 	或者	c=6 d=1.00032 t=30367
huo zi 	伙子	c=3 d=1.20701 t=11994
ji 	几	c=3 d=0.539148 t=24983
ji 	及	c=2 d=1 t=22376
ji 	急	c=6 d=1 t=29359
ji 	既	c=1 d=1 t=10341
ji 	机	c=4 d=1 t=26941
ji 	积	c=1 d=1 t=16789
ji 	级	c=1 d=1 t=31117
ji 	计	c=1 d=0.572367 t=16198
ji 	记	c=4 d=1 t=31221
ji 	集	c=2 d=1 t=9231
ji ben 	基本	c=11 d=2.01013 t=29895
ji bian 	几遍	c=2 d=1.98511 t=6539
ji bu suan 	计不算	c=1 d=1 t=16199
ji cha 	极差	c=1 d=1 t=21042
ji chang 	机场	c=3 d=1 t=24963
ji cheng 	继承	c=7 d=5.06729 t=10739
ji cheng 	集成	c=3 d=1 t=31051
ji chu 	基础	c=9 d=1 t=31164
ji chu 	挤出	c=1 d=1 t=15259
ji ci 	几次	c=2 d=1 t=24636
ji de 	记得	c=9 d=1.0011 t=27131
ji dian 	几点	c=6 d=1 t=24898
ji dong 	激动	c=1 d=1 t=5773
ji du 	基督	c=3 d=2.9605 t=14541
ji du 	季度	c=1 d=1 t=21696
ji du 	极度	c=1 d=1 t=12131
ji fen 	积分	c=4 d=3.96526 t=22777
ji ge 	几个	c=20 d=0.449329 t=31502
ji ge 	及格	c=1 d=1 t=8920
ji gou 	机构	c=6 d=1.94176 t=14177
ji he 	集合	c=1 d=1 t=31189
ji hu 	几乎	c=3 d=0.0692522 t=31502
ji hua 	计划	c=11 d=1.00022 t=29984
ji hui 	机会	c=5 d=1 t=24239
ji huo 	激活	c=1 d=1 t=10591
ji jie 	季节	c=4 d=1.16696 t=28982
ji jie 	集结	c=1 d=0.00509243 t=31502
ji jin 	基金	c=2 d=1.85738 t=25058
ji jin ji lu 	基金记录	c=1 d=1 t=24588
ji ke 	即可	c=1 d=0.00289433 t=31502
ji kuai 	几块	c=1 d=1 t=29248
ji le 	极乐	c=2 d=1.99501 t=23152
ji lei 	积累	c=2 d=0.219808 t=31502
ji lu 	记录	c=21 d=0.358796 t=31502
ji neng 	技能	c=3 d=1 t=23039
ji neng ti 	技能题	c=1 d=1 t=2883
ji nian 	纪念	c=1 d=1 t=10046
ji nue 	及虐	c=1 d=0.977617 t=31502
ji nue sen 	及虐森	c=1 d=0.955997 t=31502
ji piao 	机票	c=54 d=1.01374 t=28455
ji qi 	机器	c=5 d=1.94176 t=22659
ji qi 	集齐	c=1 d=1 t=5473
ji qi ren 	机器人	c=3 d=1.60351 t=19635
ji qian 	几千	c=1 d=1 t=25038
ji qiao 	技巧	c=2 d=0.00353515 t=31502
ji shen 	机身	c=1 d=1 t=23678
ji shi 	几十	c=5 d=1.27396 t=25654
ji shi 	即使	c=1 d=1 t=9425
ji shi 	及时	c=3 d=1.00022 t=25396
ji shi 	技师	c=1 d=1 t=17211
ji shi 	计时	c=1 d=1 t=25397
ji shu 	技术	c=15 d=0.453368 t=31502
ji suan 	计算	c=3 d=1.00011 t=11033
ji suan ji 	计算机	c=1 d=1 t=7146
ji tian 	几天	c=3 d=0.0139818 t=31502
ji xia 	记下	c=2 d=0.246597 t=31502
ji xie 	机械	c=4 d=1 t=31444
ji xu 	继续	c=23 d=0.242926 t=31502
ji yi 	记忆	c=4 d=2.12188 t=31502
ji yi ci 	几一次	c=1 d=1 t=24984
ji yi ci 	记忆次	c=1 d=1 t=24985
ji you 	既有	c=1 d=1 t=16190
ji yu 	基于	c=1 d=1 t=28287
ji zhi 	几只	c=1 d=1 t=10483
ji zhi 	机智	c=1 d=1 t=4336
ji zhong 	几种	c=3 d=1 t=26892
ji zi 	机子	c=3 d=1 t=20559
jia 	价	c=5 d=1 t=26732
jia 	假	c=6 d=1.96561 t=26740
jia 	加	c=81 d=1.02072 t=30757
jia 	夹	c=1 d=1 t=17427
jia 	家	c=9 d=1 t=26651
jia 	甲	c=1 d=1 t=15393
jia ban 	加班	c=1 d=1 t=26429
jia ge 	价格	c=3 d=1 t=26973
jia gou 	架构	c=2 d=1.48919 t=9148
jia huo 	家伙	c=1 d=1 t=10426
jia jing 	嘉靖	c=1 d=0.131336 t=31502
jia li 	佳丽	c=1 d=1 t=13991
jia li 	家里	c=8 d=1.98511 t=26737
jia na da 	加拿大	c=2 d=1 t=20041
jia qiang 	加强	c=3 d=1 t=26457
jia re 	加热	c=1 d=1 t=26939
jia ru 	加入	c=3 d=1.00013 t=25992
jia shang 	加上	c=4 d=0.0792617 t=31502
jia she 	假设	c=1 d=1 t=6832
jia shi 	架势	c=1 d=1 t=19969
jia su 	加速	c=1 d=1 t=20327
jia xi 	加息	c=0 d=0.1 t=9874
jia xi xian 	加息先	c=1 d=1 t=9875
jia yong 	家用	c=1 d=1 t=18018
jia zai 	加载	c=12 d=0.0315968 t=31502
jia zhang 	家长	c=1 d=1 t=16578
jia zhao 	驾照	c=1 d=1 t=27136
jia zhuang 	家装	c=1 d=1 t=20665
jian 	件	c=2 d=0.657047 t=31502
jian 	剪	c=1 d=1 t=4652
jian 	尖	c=2 d=1.35169 t=523
jian 	建	c=10 d=1.31085 t=31502
jian 	简	c=3 d=1 t=24333
jian 	见	c=3 d=0.506617 t=31502
jian 	键	c=4 d=0.509156 t=31502
jian 	间	c=2 d=1 t=26687
jian bang 	肩膀	c=3 d=1.12178 t=18946
jian bing 	煎饼	c=8 d=1 t=26410
jian ce 	检测	c=7 d=1 t=27583
jian cha 	检查	c=11 d=0.00767337 t=31502
jian chi 	坚持	c=4 d=0.792213 t=31502
jian dan 	简单	c=14 d=1.0226 t=31281
jian diao 	剪掉	c=1 d=1 t=21146
jian ding 	鉴定	c=1 d=1 t=29587
jian fang 	建房	c=1 d=1 t=3935
jian guo 	见过	c=1 d=1 t=10578
jian hao 	见好	c=2 d=1 t=23720
jian hua 	简化	c=2 d=0.860708 t=31502
jian jin 	渐进	c=1 d=1 t=16301
jian kang 	健康	c=2 d=1 t=23860
jian kong 	监控	c=1 d=1 t=592
jian li 	建立	c=1 d=1 t=3518
jian li 	简历	c=6 d=1.00835 t=12754
jian liang 	见谅	c=1 d=1 t=7639
jian pan 	键盘	c=17 d=1.7403 t=31502
jian qian 	见钱	c=1 d=1 t=29586
jian qie 	剪切	c=2 d=1.09005 t=25458
jian qie ban 	剪切版	c=1 d=1 t=25459
jian qie bu 	剪切不	c=1 d=1 t=23283
jian quan 	键权	c=1 d=1 t=29975
jian rong 	兼容	c=3 d=1 t=15851
jian shao 	减少	c=4 d=1.22569 t=31502
jian shu 	荐书	c=1 d=0.615697 t=31502
jian ti 	简体	c=1 d=0.847894 t=31502
jian tie ban 	剪贴板	c=1 d=0.597501 t=31502
jian tou 	箭头	c=2 d=1.00003 t=18855
jian wei zhi zhu 	见微知著	c=1 d=0.0968105 t=31502
jian yi 	建议	c=18 d=2.77036 t=31340
jian yu 	监狱	c=1 d=1 t=31321
jian zai 	健在	c=1 d=1 t=5353
jian zhi 	简直	c=2 d=1 t=15536
jiang 	将	c=4 d=0.378987 t=31502
jiang 	讲	c=23 d=1.00204 t=31176
jiang 	降	c=7 d=1.45937 t=21245
jiang de 	讲得	c=1 d=1 t=28877
jiang jie 	讲解	c=1 d=1 t=28956
jiang jiu 	讲究	c=2 d=1 t=28952
jiang li 	讲理	c=1 d=1 t=3261
jiang xi 	江西	c=1 d=1 t=21244
jiang zi 	酱紫	c=1 d=0.00225411 t=31502
jiao 	交	c=5 d=3.81343 t=13366
jiao 	叫	c=11 d=0.0541984 t=31502
jiao 	娇	c=0 d=0.1 t=27254
jiao 	教	c=1 d=1 t=28964
jiao 	脚	c=4 d=1 t=27027
jiao 	觉	c=1 d=1 t=24541
jiao 	角	c=3 d=2.2848 t=553
jiao cha 	交叉	c=2 d=1.09005 t=30623
jiao cha zhou 	交叉轴	c=1 d=1 t=30624
jiao cheng 	教程	c=1 d=1 t=14616
jiao di di 	娇滴滴	c=2 d=1.82696 t=27293
jiao dian 	焦点	c=3 d=1.50772 t=31502
jiao du 	角度	c=2 d=1 t=20349
jiao guan 	交管	c=1 d=1 t=13251
jiao hu 	交互	c=2 d=1 t=23503
jiao jiao 	教教	c=1 d=1 t=30405
jiao jing 	交警	c=1 d=1 t=13467
jiao liu 	交流	c=3 d=1.99501 t=26449
jiao luo 	角落	c=1 d=1 t=25093
jiao ni 	教你	c=1 d=1 t=9238
jiao rong 	交融	c=1 d=1 t=30774
jiao sha 	叫啥	c=2 d=1.00403 t=20901
jiao tong 	交通	c=3 d=0.085052 t=31502
jiao wo 	教我	c=1 d=1 t=22441
jiao xing 	侥幸	c=1 d=1 t=24250
jiao yi 	交易	c=2 d=1 t=15986
jie 	借	c=1 d=1 t=6959
jie 	劫	c=0 d=0.0138069 t=31502
jie 	姐	c=2 d=1.00005 t=17891
jie 	接	c=10 d=1.00052 t=27917
jie 	杰	c=1 d=1 t=13870
jie 	洁	c=1 d=1 t=25364
jie 	结	c=1 d=1 t=8520
jie 	节	c=2 d=0.0120342 t=31502
jie 	解	c=3 d=1 t=12168
jie che 	接车	c=1 d=1 t=27349
jie dao 	接到	c=1 d=1 t=13698
jie duan 	阶段	c=2 d=1.15259 t=24831
jie gou 	结构	c=2 d=1 t=17430
jie gou 	解构	c=6 d=1 t=18439
jie guo 	结果	c=17 d=1 t=29007
jie he 	结合	c=1 d=1 t=5888
jie jue 	解决	c=14 d=0.264477 t=31502
jie kou 	接口	c=42 d=1.00366 t=31237
jie m 	接呒	c=1 d=1 t=26859
jie mian 	界面	c=21 d=1 t=30979
jie pou 	解剖	c=1 d=1 t=18484
jie ru 	介入	c=1 d=1 t=2795
jie ru 	接入	c=7 d=1 t=23672
jie shao 	介绍	c=6 d=0.189191 t=31502
jie shou 	接受	c=2 d=1 t=19923
jie shu 	结束	c=6 d=1 t=25569
jie su 	借宿	c=3 d=1.66698 t=17277
jie tu 	截图	c=3 d=1 t=27750
jie wan 	接完	c=1 d=1 t=3564
jie wo 	借我	c=2 d=1 t=11478
jie xia lai 	接下来	c=3 d=2.95566 t=30638
jie ya 	解压	c=2 d=0.00431717 t=31502
jie yue 	节约	c=2 d=1.00472 t=24128
jie zhu 	借助	c=1 d=1 t=24122
jin 	仅	c=2 d=1.97531 t=19626
jin 	斤	c=1 d=1 t=24590
jin 	近	c=1 d=1 t=19946
jin 	进	c=8 d=0.301194 t=31502
jin 	锦	c=2 d=1.33454 t=17812
jin bu 	进步	c=1 d=1 t=28613
jin du 	进度	c=2 d=1 t=30108
jin du tiao 	进度条	c=2 d=1.90484 t=28538
jin e 	金额	c=4 d=1 t=19447
jin ji 	紧急	c=1 d=1 t=9923
jin kuai 	尽快	c=1 d=1 t=14420
jin lai 	进来	c=1 d=1 t=5959
jin liang 	尽量	c=3 d=1 t=27596
jin nian 	今年	c=3 d=1 t=21690
jin qi 	近期	c=1 d=1 t=24571
jin qu 	进去	c=5 d=1 t=26309
jin ri 	今日	c=12 d=0.00373503 t=31502
jin rong 	金融	c=1 d=1 t=30775
jin ru 	进入	c=4 d=0.0261214 t=31502
jin shang tian hua 	锦上添花	c=1 d=0.109701 t=31502
jin sui 	紧随	c=1 d=1 t=28607
jin tian 	今天	c=59 d=2.7073 t=31502
jin wan 	今晚	c=3 d=0.327303 t=31502
jin wan 	金湾	c=15 d=2.68496 t=31502
jin wan ren 	金湾人	c=1 d=0.519442 t=31502
jin xing 	进行	c=19 d=1.00155 t=25808
jin yong 	禁用	c=5 d=0.00255424 t=31502
jin zhang 	紧张	c=1 d=1 t=7339
jin zhu 	进驻	c=1 d=0.0338776 t=31502
jing 	净	c=1 d=1 t=17966
jing 	敬	c=1 d=1 t=24505
jing 	晶	c=2 d=1.68729 t=24581
jing 	精	c=3 d=0.33407 t=31502
jing 	经	c=2 d=1 t=8076
jing 	警	c=1 d=1 t=20056
jing 	静	c=3 d=1 t=27296
jing 	颈	c=1 d=1 t=18772
jing cai 	精彩	c=1 d=0.346456 t=31502
jing chang 	经常	c=3 d=0.0578443 t=31502
jing cheng 	京城	c=1 d=0.0575558 t=31502
jing dian 	经典	c=2 d=0.0160027 t=31502
jing dong 	京东	c=1 d=1 t=17778
jing du 	精度	c=1 d=1 t=9075
jing guan 	景观	c=1 d=0.0169922 t=31502
jing hua 	净化	c=1 d=1 t=17921
jing ji 	经济	c=1 d=0.1 t=25945
